time_us,x_g,y_g,z_g,time_ms
522991,0.0351,0.0468,0.9165,522.991
525009,0.0234,0.0585,0.9126,525.009
527519,0.0273,0.0546,0.9087,527.519
530018,0.0312,0.0429,0.9087,530.018
532529,0.0312,0.0468,0.9126,532.529
535006,0.0312,0.0507,0.9048,535.006
537729,0.0273,0.0507,0.9165,537.729
540003,0.0312,0.0507,0.9165,540.003
542527,0.0234,0.0507,0.9126,542.527
545005,0.0312,0.0429,0.9048,545.005
547513,0.0234,0.0507,0.9087,547.513
550010,0.0312,0.0468,0.9126,550.01
552503,0.0312,0.0429,0.9009,552.503
555008,0.0312,0.0507,0.9126,555.008
557518,0.0312,0.0429,0.9087,557.518
560018,0.0312,0.0546,0.897,560.018
562524,0.0234,0.0468,0.9165,562.524
565011,0.0312,0.0468,0.9087,565.011
567521,0.0312,0.0507,0.9048,567.521
570009,0.0351,0.0468,0.9126,570.009
572507,0.0351,0.0507,0.9165,572.507
575012,0.0312,0.0546,0.9204,575.012
577527,0.0273,0.0507,0.9087,577.527
580018,0.0351,0.0507,0.9087,580.018
582524,0.0351,0.0546,0.9087,582.524
585008,0.0351,0.0468,0.9048,585.008
587518,0.0351,0.0507,0.8931,587.518
590008,0.0234,0.0468,0.9009,590.008
592506,0.0351,0.0546,0.9009,592.506
595014,0.0351,0.0507,0.9126,595.014
597520,0.0351,0.0507,0.9126,597.52
600015,0.0273,0.0429,0.9048,600.015
602528,0.039,0.0468,0.9087,602.528
605647,0.0273,0.0507,0.9126,605.647
607535,0.0273,0.0507,0.9126,607.535
610014,0.0351,0.039,0.9048,610.014
612517,0.0234,0.0507,0.9048,612.517
615006,0.0273,0.0546,0.9126,615.006
617522,0.0234,0.0468,0.9204,617.522
620014,0.039,0.0468,0.9126,620.014
622501,0.0273,0.0546,0.9048,622.501
625360,0.0351,0.0507,0.897,625.36
627520,0.0351,0.0468,0.9087,627.52
630017,0.0312,0.0468,0.9165,630.017
632507,0.0273,0.0507,0.9087,632.507
635024,0.0351,0.0429,0.9009,635.024
637738,0.0312,0.039,0.9048,637.738
640003,0.0273,0.0624,0.9009,640.003
642530,0.0195,0.0507,0.9087,642.53
645008,0.0234,0.0546,0.9009,645.008
647503,0.0351,0.0546,0.9126,647.503
650027,0.0312,0.0507,0.9126,650.027
652529,0.0351,0.0507,0.9087,652.529
655021,0.0351,0.0546,0.9009,655.021
657506,0.0312,0.0546,0.9009,657.506
660016,0.0273,0.0546,0.9087,660.016
662527,0.0351,0.0507,0.9048,662.527
665003,0.0273,0.0468,0.9048,665.003
667506,0.0312,0.0507,0.9165,667.506
670009,0.0312,0.0429,0.9126,670.009
672516,0.0312,0.0546,0.9165,672.516
675004,0.0312,0.0546,0.9087,675.004
677515,0.0351,0.0468,0.9087,677.515
680011,0.0312,0.0507,0.9087,680.011
682507,0.0351,0.0507,0.9126,682.507
685003,0.0273,0.0507,0.9126,685.003
687532,0.0312,0.0273,0.9165,687.532
690015,0.0273,0.0429,0.9048,690.015
692506,0.0312,0.0546,0.9165,692.506
695017,0.0312,0.0546,0.9048,695.017
697527,0.0273,0.0468,0.9126,697.527
700018,0.0312,0.0546,0.9126,700.018
702524,0.039,0.039,0.9087,702.524
705003,0.039,0.0351,0.9048,705.003
707503,0.0273,0.0507,0.9204,707.503
710012,0.0273,0.0507,0.9204,710.012
712517,0.0312,0.0546,0.9048,712.517
715013,0.0312,0.0468,0.9009,715.013
717521,0.0351,0.0468,0.9087,717.521
720009,0.0351,0.0468,0.9048,720.009
722507,0.0273,0.0507,0.9126,722.507
725018,0.0312,0.0507,0.9048,725.018
727777,0.0273,0.0507,0.9243,727.777
730013,0.0273,0.0507,0.9009,730.013
732517,0.0312,0.0546,0.9048,732.517
735019,0.0312,0.0546,0.9009,735.019
737502,0.0312,0.0507,0.9126,737.502
740015,0.0312,0.0507,0.9009,740.015
742503,0.0351,0.0585,0.9165,742.503
745011,0.0351,0.0468,0.9126,745.011
747520,0.0273,0.0546,0.9126,747.52
750013,0.0273,0.0507,0.9009,750.013
752505,0.0273,0.0507,0.9243,752.505
755018,0.0273,0.0468,0.9087,755.018
757520,0.0312,0.0507,0.9165,757.52
760023,0.0312,0.0546,0.9087,760.023
762537,0.0273,0.0546,0.9126,762.537
765000,0.0351,0.0546,0.9126,765.0
767528,0.0273,0.0468,0.897,767.528
770017,0.0273,0.0546,0.9048,770.017
772516,0.0312,0.0546,0.9126,772.516
775004,0.0351,0.0468,0.9126,775.004
777520,0.0273,0.0507,0.9048,777.52
780014,0.0351,0.0468,0.9126,780.014
782504,0.039,0.0507,0.9126,782.504
785027,0.0234,0.0468,0.9165,785.027
787530,0.0312,0.0507,0.9048,787.53
790018,0.0351,0.0507,0.9126,790.018
792516,0.0312,0.0507,0.9087,792.516
795001,0.0312,0.0429,0.9048,795.001
797502,0.0351,0.0507,0.9087,797.502
800013,0.0312,0.0468,0.9165,800.013
802504,0.0273,0.0468,0.9126,802.504
805015,0.0351,0.0468,0.9165,805.015
807527,0.0312,0.0468,0.9126,807.527
810017,0.0351,0.0468,0.9126,810.017
812524,0.0312,0.0468,0.9087,812.524
815011,0.0312,0.0468,0.9048,815.011
817514,0.0351,0.0468,0.9126,817.514
820015,0.0273,0.0507,0.9204,820.015
822516,0.0273,0.0507,0.9009,822.516
825011,0.0273,0.0507,0.9009,825.011
827504,0.0234,0.0468,0.9048,827.504
830160,0.0312,0.0468,0.9126,830.16
832532,0.0312,0.0468,0.9126,832.532
835020,0.0312,0.0585,0.897,835.02
837728,0.0351,0.0585,0.9009,837.728
840017,0.0273,0.0585,0.9087,840.017
842504,0.0312,0.0468,0.9087,842.504
845017,0.0351,0.0507,0.9087,845.017
847520,0.0351,0.0546,0.9165,847.52
850011,0.0312,0.0546,0.9048,850.011
852502,0.0312,0.0546,0.9009,852.502
855005,0.0351,0.0507,0.897,855.005
857529,0.0312,0.0468,0.9126,857.529
860013,0.0312,0.0468,0.9204,860.013
862527,0.039,0.0585,0.9087,862.527
865004,0.0273,0.0546,0.9048,865.004
867518,0.0234,0.0585,0.9009,867.518
870001,0.0312,0.0546,0.9048,870.001
872534,0.0351,0.0507,0.9126,872.534
875007,0.0312,0.0507,0.9126,875.007
877518,0.0351,0.0468,0.9087,877.518
880027,0.0273,0.0429,0.9048,880.027
882523,0.039,0.0429,0.9009,882.523
885004,0.0312,0.0507,0.9087,885.004
887504,0.0312,0.0468,0.9204,887.504
