time_us,x_g,y_g,z_g,time_ms,cue_time_us
885018,0.0273,0.0546,0.9126,885.018,500000
887525,0.0429,0.0507,0.9048,887.525,500000
890027,0.0351,0.0585,0.9009,890.027,500000
892529,0.0312,0.0585,0.9165,892.529,500000
895025,0.0351,0.0468,0.9204,895.025,500000
897502,0.0351,0.0468,0.9204,897.502,500000
900020,0.0351,0.0507,0.9165,900.02,500000
902524,0.0234,0.0546,0.9282,902.524,500000
905002,0.0351,0.0468,0.9009,905.002,500000
907503,0.039,0.0429,0.9087,907.503,500000
910005,0.0312,0.0585,0.9087,910.005,500000
912501,0.039,0.0507,0.9087,912.501,500000
915004,0.0312,0.0585,0.9165,915.004,500000
917507,0.0234,0.0546,0.9243,917.507,500000
920014,0.0312,0.0585,0.9048,920.014,500000
922511,0.0351,0.0507,0.9204,922.511,500000
925019,0.0312,0.0546,0.9126,925.019,500000
927522,0.0351,0.0546,0.9126,927.522,500000
930026,0.0312,0.0546,0.9126,930.026,500000
932522,0.0312,0.0507,0.9204,932.522,500000
935023,0.0312,0.0585,0.9048,935.023,500000
937501,0.0234,0.0663,0.8931,937.501,500000
940009,0.0273,0.0507,0.9009,940.009,500000
942505,0.0312,0.0468,0.9126,942.505,500000
945027,0.0351,0.0507,0.9048,945.027,500000
947506,0.0351,0.0507,0.9165,947.506,500000
950009,0.0312,0.0585,0.9087,950.009,500000
952504,0.0312,0.0546,0.9126,952.504,500000
955000,0.0351,0.0507,0.9048,955.0,500000
957510,0.0273,0.0585,0.9126,957.51,500000
960014,0.0273,0.0468,0.9087,960.014,500000
962517,0.0312,0.0468,0.9165,962.517,500000
965015,0.0312,0.0468,0.9087,965.015,500000
967516,0.0351,0.0468,0.9087,967.516,500000
970029,0.0312,0.0546,0.9087,970.029,500000
972523,0.0234,0.0585,0.9009,972.523,500000
975008,0.0312,0.0468,0.9087,975.008,500000
977528,0.0312,0.0546,0.9165,977.528,500000
980018,0.0312,0.0585,0.9165,980.018,500000
982509,0.0234,0.0585,0.9165,982.509,500000
985010,0.0312,0.0546,0.9126,985.01,500000
987520,0.0312,0.0546,0.9126,987.52,500000
990029,0.0273,0.0546,0.9165,990.029,500000
992500,0.0312,0.0585,0.9048,992.5,500000
995005,0.0312,0.0507,0.9087,995.005,500000
997507,0.0273,0.0624,0.9126,997.507,500000
1000010,0.0234,0.0507,0.9087,1000.01,500000
1002511,0.0312,0.0507,0.9126,1002.511,500000
1005023,0.0312,0.0429,0.9126,1005.023,500000
1007502,0.0312,0.0429,0.9126,1007.502,500000
1010010,0.0351,0.0468,0.9048,1010.01,500000
1012510,0.0351,0.0546,0.9126,1012.51,500000
1015027,0.0351,0.0468,0.9165,1015.027,500000
1017504,0.0351,0.0585,0.9204,1017.504,500000
1020007,0.0351,0.0507,0.9204,1020.007,500000
1022507,0.0273,0.0429,0.9204,1022.507,500000
1025027,0.0312,0.0546,0.9204,1025.027,500000
1027529,0.0351,0.0624,0.9087,1027.529,500000
1030006,0.0273,0.0624,0.9126,1030.006,500000
1032517,0.0351,0.0546,0.9126,1032.517,500000
1035030,0.0468,0.0507,0.9165,1035.03,500000
1037509,0.039,0.0507,0.9087,1037.509,500000
1040016,0.039,0.0468,0.9126,1040.016,500000
1042513,0.0234,0.0585,0.9048,1042.513,500000
1045009,0.0312,0.0546,0.9087,1045.009,500000
1047514,0.0351,0.0507,0.9126,1047.514,500000
1050017,0.0273,0.0546,0.9087,1050.017,500000
1052519,0.0273,0.039,0.9009,1052.519,500000
1055020,0.0273,0.0546,0.9087,1055.02,500000
1057500,0.039,0.0546,0.9165,1057.5,500000
1060009,0.0273,0.0585,0.9087,1060.009,500000
1062505,0.0351,0.0624,0.9126,1062.505,500000
1065028,0.0312,0.0546,0.9126,1065.028,500000
1067505,-0.4953,-1.014,-1.1778,1067.505,500000
1070016,3.8922,1.3104,4.0872,1070.016,500000
1072513,0.0195,1.9032,0.1521,1072.513,500000
1075017,-0.4758,-0.1014,0.7527,1075.017,500000
1077516,0.0819,-0.0039,0.9438,1077.516,500000
